order_id,customer_id,order_created_at,order_amount,currency,order_status
O100032,C10032,2025-12-05 11:44:49.631991+00:00,48.0,EUR,completed
O100033,C10033,2025-12-05 11:51:49.631991+00:00,49.5,EUR,completed
O100034,C10034,2025-12-05 11:58:49.631991+00:00,51.0,EUR,completed
O100035,C10035,2025-12-05 12:05:49.631991+00:00,52.5,EUR,completed
O100036,C10036,2025-12-05 12:12:49.631991+00:00,54.0,EUR,cancelled
O100037,C10037,2025-12-05 12:19:49.631991+00:00,55.5,EUR,completed
O100038,C10038,2025-12-05 12:26:49.631991+00:00,57.0,EUR,completed
O100039,C10039,2025-12-05 12:33:49.631991+00:00,58.5,EUR,completed
O100040,C10040,2025-12-05 12:40:49.631991+00:00,60.0,EUR,completed
O100041,C10041,2025-12-05 12:47:49.631991+00:00,61.5,EUR,completed
O100042,C10042,2025-12-05 12:54:49.631991+00:00,63.0,EUR,completed
O100043,C10043,2025-12-05 13:01:49.631991+00:00,64.5,EUR,completed
O100044,C10044,2025-12-05 13:08:49.631991+00:00,66.0,EUR,completed
O100045,C10045,2025-12-05 13:15:49.631991+00:00,67.5,EUR,completed
O100046,C10046,2025-12-05 13:22:49.631991+00:00,69.0,EUR,completed
O100047,C10047,2025-12-05 13:29:49.631991+00:00,70.5,EUR,completed
O100048,C10048,2025-12-05 13:36:49.631991+00:00,72.0,EUR,completed
O100049,C10049,2025-12-05 13:43:49.631991+00:00,-10.0,EUR,completed
O100050,C10050,2025-12-05 13:50:49.631991+00:00,75.0,EUR,completed
O100051,C10051,2025-12-05 13:57:49.631991+00:00,76.5,EUR,completed
O100052,C10052,2025-12-05 14:04:49.631991+00:00,78.0,EUR,completed
O100053,C10053,2025-12-05 14:11:49.631991+00:00,79.5,EUR,completed
O100054,C10054,2025-12-05 14:18:49.631991+00:00,81.0,EUR,completed
O100055,C10055,2025-12-05 14:25:49.631991+00:00,82.5,EUR,completed
O100056,C10056,2025-12-05 14:32:49.631991+00:00,84.0,EUR,completed
O100057,C10057,2025-12-05 14:39:49.631991+00:00,85.5,EUR,completed
O100058,C10058,2025-12-05 14:46:49.631991+00:00,87.0,EUR,completed
O100059,C10059,2025-12-05 14:53:49.631991+00:00,88.5,EUR,refunded
O100060,C10060,2025-12-05 15:00:49.631991+00:00,90.0,EUR,completed
O100061,C10061,2025-12-05 15:07:49.631991+00:00,91.5,EUR,completed
O100062,C10062,2025-12-05 15:14:49.631991+00:00,93.0,EUR,completed
O100063,C10063,2025-12-05 15:21:49.631991+00:00,94.5,EUR,completed
O100064,C10064,2025-12-05 15:28:49.631991+00:00,96.0,EUR,completed
O100065,C10065,2025-12-05 15:35:49.631991+00:00,97.5,EUR,completed
O100066,C10066,2025-12-05 15:42:49.631991+00:00,99.0,EUR,completed
O100067,C10067,2025-12-05 15:49:49.631991+00:00,100.5,EUR,completed
O100068,C10068,2025-12-05 15:56:49.631991+00:00,102.0,EUR,completed
O100069,C10069,2025-12-05 16:03:49.631991+00:00,103.5,EUR,completed
O100070,C10070,2025-12-05 16:10:49.631991+00:00,105.0,EUR,completed
O100071,C10071,2025-12-05 16:17:49.631991+00:00,106.5,EUR,completed
O100072,C10072,2025-12-05 16:24:49.631991+00:00,108.0,EUR,completed
O100073,C10073,2025-12-05 16:31:49.631991+00:00,109.5,EUR,completed
O100074,C10074,2025-12-05 16:38:49.631991+00:00,111.0,EUR,completed
O100075,C10075,2025-12-05 16:45:49.631991+00:00,112.5,EUR,completed
O100076,C10076,2025-12-05 16:52:49.631991+00:00,114.0,EUR,completed
O100077,C10077,2025-12-05 16:59:49.631991+00:00,115.5,EUR,completed
O100078,C10078,2025-12-05 17:06:49.631991+00:00,117.0,EUR,completed
O100079,C10079,2025-12-05 17:13:49.631991+00:00,118.5,EUR,completed
O100080,C10080,2025-12-05 17:20:49.631991+00:00,120.0,EUR,completed
O100081,C10081,2025-12-05 17:27:49.631991+00:00,121.5,EUR,completed
O100082,C10082,2025-12-05 17:34:49.631991+00:00,123.0,EUR,completed
O100083,C10083,2025-12-05 17:41:49.631991+00:00,124.5,EUR,completed
O100084,C10084,2025-12-05 17:48:49.631991+00:00,126.0,EUR,completed
O100085,C10085,2025-12-05 17:55:49.631991+00:00,127.5,EUR,completed
O100086,C10086,2025-12-05 18:02:49.631991+00:00,129.0,EUR,completed
O100087,C10087,2025-12-05 18:09:49.631991+00:00,130.5,EUR,completed
O100088,C10088,2025-12-05 18:16:49.631991+00:00,132.0,EUR,completed
O100089,C10089,2025-12-05 18:23:49.631991+00:00,133.5,EUR,completed
O100090,C10090,2025-12-05 18:30:49.631991+00:00,135.0,EUR,completed
O100091,C10091,2025-12-05 18:37:49.631991+00:00,136.5,EUR,completed
O100092,C10092,2025-12-05 18:44:49.631991+00:00,138.0,EUR,completed
O100093,C10093,2025-12-05 18:51:49.631991+00:00,139.5,EUR,completed
O100094,C10094,2025-12-05 18:58:49.631991+00:00,141.0,EUR,cancelled
O100095,C10095,2025-12-05 19:05:49.631991+00:00,142.5,EUR,completed
O100096,C10096,2025-12-05 19:12:49.631991+00:00,144.0,EUR,completed
O100097,C10097,2025-12-05 19:19:49.631991+00:00,145.5,EUR,completed
O100098,C10098,2025-12-05 19:26:49.631991+00:00,147.0,EUR,completed
O100099,C10099,2025-12-05 19:33:49.631991+00:00,148.5,EUR,completed
O100100,C10100,2025-12-05 19:40:49.631991+00:00,150.0,EUR,completed
O100101,C10101,2025-12-05 19:47:49.631991+00:00,151.5,EUR,completed
O100102,C10102,2025-12-05 19:54:49.631991+00:00,153.0,EUR,completed
O100103,C10103,2025-12-05 20:01:49.631991+00:00,154.5,EUR,completed
O100104,C10104,2025-12-05 20:08:49.631991+00:00,156.0,EUR,completed
O100105,C10105,2025-12-05 20:15:49.631991+00:00,157.5,EUR,completed
O100106,C10106,2025-12-05 20:22:49.631991+00:00,159.0,EUR,completed
O100107,C10107,2025-12-05 20:29:49.631991+00:00,160.5,EUR,completed
O100108,C10108,2025-12-05 20:36:49.631991+00:00,162.0,EUR,cancelled
O100109,C10109,2025-12-05 20:43:49.631991+00:00,163.5,EUR,completed
O100110,C10110,2025-12-05 20:50:49.631991+00:00,165.0,EUR,completed
O100111,C10111,2025-12-05 20:57:49.631991+00:00,166.5,EUR,completed
O100112,C10112,2025-12-05 21:04:49.631991+00:00,168.0,EUR,completed
O100113,C10113,2025-12-05 21:11:49.631991+00:00,169.5,EUR,cancelled
O100114,C10114,2025-12-05 21:18:49.631991+00:00,171.0,EUR,completed
O100115,C10115,2025-12-05 21:25:49.631991+00:00,172.5,EUR,completed
O100116,C10116,2025-12-05 21:32:49.631991+00:00,174.0,EUR,completed
O100117,C10117,2025-12-05 21:39:49.631991+00:00,175.5,EUR,refunded
O100118,C10118,2025-12-05 21:46:49.631991+00:00,177.0,EUR,refunded
O100119,C10119,2025-12-05 21:53:49.631991+00:00,178.5,EUR,completed
O100120,C10120,2025-12-05 22:00:49.631991+00:00,180.0,EUR,completed
O100121,C10121,2025-12-05 22:07:49.631991+00:00,181.5,EUR,completed
O100122,C10122,2025-12-05 22:14:49.631991+00:00,183.0,EUR,completed
O100123,C10123,2025-12-05 22:21:49.631991+00:00,184.5,EUR,refunded
O100124,C10124,2025-12-05 22:28:49.631991+00:00,186.0,EUR,completed
O100125,C10125,2025-12-05 22:35:49.631991+00:00,187.5,EUR,completed
O100126,C10126,2025-12-05 22:42:49.631991+00:00,189.0,EUR,completed
O100127,C10127,2025-12-05 22:49:49.631991+00:00,190.5,EUR,completed
O100128,C10128,2025-12-05 22:56:49.631991+00:00,192.0,EUR,completed
O100129,C10129,2025-12-05 23:03:49.631991+00:00,193.5,EUR,completed
O100130,C10130,2025-12-05 23:10:49.631991+00:00,195.0,EUR,completed
O100131,C10131,2025-12-05 23:17:49.631991+00:00,196.5,EUR,completed
O100132,C10132,2025-12-05 23:24:49.631991+00:00,198.0,EUR,completed
O100133,C10133,2025-12-05 23:31:49.631991+00:00,199.5,EUR,completed
O100134,C10134,2025-12-05 23:38:49.631991+00:00,201.0,EUR,completed
O100135,C10135,2025-12-05 23:45:49.631991+00:00,202.5,EUR,completed
O100136,C10136,2025-12-05 23:52:49.631991+00:00,204.0,EUR,completed
O100137,C10137,2025-12-05 23:59:49.631991+00:00,205.5,EUR,completed
O100138,C10138,2025-12-06 00:06:49.631991+00:00,207.0,EUR,completed
O100139,C10139,2025-12-06 00:13:49.631991+00:00,208.5,EUR,completed
O100140,C10140,2025-12-06 00:20:49.631991+00:00,210.0,EUR,completed
O100141,C10141,2025-12-06 00:27:49.631991+00:00,211.5,EUR,completed
O100142,C10142,2025-12-06 00:34:49.631991+00:00,213.0,EUR,completed
O100143,C10143,2025-12-06 00:41:49.631991+00:00,214.5,EUR,completed
O100144,C10144,2025-12-06 00:48:49.631991+00:00,216.0,EUR,completed
O100145,,2025-12-06 00:55:49.631991+00:00,217.5,EUR,completed
O100146,C10146,2025-12-06 01:02:49.631991+00:00,219.0,EUR,completed
O100147,C10147,2025-12-06 01:09:49.631991+00:00,-10.0,EUR,completed
O100148,C10148,2025-12-06 01:16:49.631991+00:00,222.0,EUR,completed
O100149,C10149,2025-12-06 01:23:49.631991+00:00,223.5,EUR,cancelled
O100150,C10150,2025-12-06 01:30:49.631991+00:00,225.0,EUR,completed
O100151,C10151,2025-12-06 01:37:49.631991+00:00,226.5,EUR,completed
O100152,C10152,2025-12-06 01:44:49.631991+00:00,228.0,EUR,completed
O100153,C10153,2025-12-06 01:51:49.631991+00:00,229.5,EUR,completed
O100154,C10154,2025-12-06 01:58:49.631991+00:00,231.0,EUR,completed
O100155,C10155,2025-12-06 02:05:49.631991+00:00,232.5,EUR,cancelled
O100156,C10156,2025-12-06 02:12:49.631991+00:00,234.0,EUR,completed
O100157,C10157,2025-12-06 02:19:49.631991+00:00,235.5,EUR,completed
O100158,C10158,2025-12-06 02:26:49.631991+00:00,237.0,EUR,completed
O100159,C10159,2025-12-06 02:33:49.631991+00:00,238.5,EUR,completed
O100160,C10160,2025-12-06 02:40:49.631991+00:00,240.0,EUR,completed
O100161,C10161,2025-12-06 02:47:49.631991+00:00,241.5,EUR,cancelled
O100162,C10162,2025-12-06 02:54:49.631991+00:00,243.0,EUR,completed
O100163,C10163,2025-12-06 03:01:49.631991+00:00,244.5,EUR,completed
O100164,C10164,2025-12-06 03:08:49.631991+00:00,246.0,EUR,completed
O100165,C10165,2025-12-06 03:15:49.631991+00:00,247.5,EUR,refunded
O100166,C10166,2025-12-06 03:22:49.631991+00:00,249.0,EUR,completed
O100167,C10167,2025-12-06 03:29:49.631991+00:00,250.5,EUR,completed
O100168,C10168,2025-12-06 03:36:49.631991+00:00,252.0,EUR,refunded
O100169,C10169,2025-12-06 03:43:49.631991+00:00,253.5,EUR,completed
O100170,C10170,2025-12-06 03:50:49.631991+00:00,255.0,EUR,completed
O100171,C10171,2025-12-06 03:57:49.631991+00:00,256.5,EUR,completed
O100172,C10172,2025-12-06 04:04:49.631991+00:00,258.0,EUR,completed
O100173,C10173,2025-12-06 04:11:49.631991+00:00,259.5,EUR,completed
O100174,C10174,2025-12-06 04:18:49.631991+00:00,-10.0,EUR,completed
O100175,C10175,2025-12-06 04:25:49.631991+00:00,262.5,EUR,completed
O100176,C10176,2025-12-06 04:32:49.631991+00:00,264.0,EUR,completed
O100177,C10177,2025-12-06 04:39:49.631991+00:00,265.5,EUR,completed
O100178,C10178,2025-12-06 04:46:49.631991+00:00,267.0,EUR,refunded
O100179,C10179,2025-12-06 04:53:49.631991+00:00,268.5,EUR,completed
O100180,C10180,2025-12-06 05:00:49.631991+00:00,270.0,EUR,completed
O100181,C10181,2025-12-06 05:07:49.631991+00:00,271.5,EUR,completed
O100182,C10182,2025-12-06 05:14:49.631991+00:00,273.0,EUR,completed
O100183,C10183,2025-12-06 05:21:49.631991+00:00,274.5,EUR,completed
O100184,C10184,2025-12-06 05:28:49.631991+00:00,276.0,EUR,completed
O100185,C10185,2025-12-06 05:35:49.631991+00:00,277.5,EUR,completed
O100186,C10186,2025-12-06 05:42:49.631991+00:00,279.0,EUR,completed
O100187,C10187,2025-12-06 05:49:49.631991+00:00,280.5,EUR,completed
O100188,C10188,2025-12-06 05:56:49.631991+00:00,282.0,EUR,completed
O100189,C10189,2025-12-06 06:03:49.631991+00:00,283.5,EUR,completed
O100190,C10190,2025-12-06 06:10:49.631991+00:00,285.0,EUR,completed
O100191,C10191,2025-12-06 06:17:49.631991+00:00,286.5,EUR,completed
O100192,C10192,2025-12-06 06:24:49.631991+00:00,288.0,EUR,completed
O100193,C10193,2025-12-06 06:31:49.631991+00:00,289.5,EUR,completed
O100194,C10194,2025-12-06 06:38:49.631991+00:00,291.0,EUR,cancelled
O100195,C10195,2025-12-06 06:45:49.631991+00:00,292.5,EUR,completed
O100196,C10196,2025-12-06 06:52:49.631991+00:00,294.0,EUR,completed
O100197,C10197,2025-12-06 06:59:49.631991+00:00,295.5,EUR,cancelled
O100198,C10198,2025-12-06 07:06:49.631991+00:00,297.0,EUR,completed
O100199,C10199,2025-12-06 07:13:49.631991+00:00,298.5,EUR,completed
O100200,C10200,2025-12-06 07:20:49.631991+00:00,0.0,EUR,completed
O100201,C10201,2025-12-06 07:27:49.631991+00:00,1.5,EUR,completed
O100202,C10202,2025-12-06 07:34:49.631991+00:00,3.0,EUR,completed
O100203,C10203,2025-12-06 07:41:49.631991+00:00,4.5,EUR,completed
O100204,C10204,2025-12-06 07:48:49.631991+00:00,6.0,EUR,completed
O100205,C10205,2025-12-06 07:55:49.631991+00:00,7.5,EUR,completed
O100206,C10206,2025-12-06 08:02:49.631991+00:00,9.0,EUR,completed
O100207,C10207,2025-12-06 08:09:49.631991+00:00,10.5,EUR,refunded
O100208,C10208,2025-12-06 08:16:49.631991+00:00,12.0,EUR,completed
O100209,,2025-12-06 08:23:49.631991+00:00,13.5,EUR,completed
O100210,C10210,2025-12-06 08:30:49.631991+00:00,15.0,EUR,cancelled
O100211,C10211,2025-12-06 08:37:49.631991+00:00,16.5,EUR,completed
O100212,C10212,2025-12-06 08:44:49.631991+00:00,18.0,EUR,completed
O100213,C10213,2025-12-06 08:51:49.631991+00:00,19.5,EUR,completed
O100214,C10214,2025-12-06 08:58:49.631991+00:00,21.0,EUR,completed
O100215,C10215,2025-12-06 09:05:49.631991+00:00,22.5,EUR,cancelled
O100216,C10216,2025-12-06 09:12:49.631991+00:00,24.0,EUR,completed
O100217,C10217,2025-12-06 09:19:49.631991+00:00,25.5,EUR,completed
O100218,C10218,2025-12-06 09:26:49.631991+00:00,27.0,EUR,cancelled
O100219,C10219,2025-12-06 09:33:49.631991+00:00,28.5,EUR,completed
O100220,C10220,2025-12-06 09:40:49.631991+00:00,30.0,EUR,refunded
O100221,C10221,2025-12-06 09:47:49.631991+00:00,31.5,EUR,cancelled
O100222,C10222,2025-12-06 09:54:49.631991+00:00,33.0,EUR,completed
O100223,C10223,2025-12-06 10:01:49.631991+00:00,34.5,EUR,completed
O100224,C10224,2025-12-06 10:08:49.631991+00:00,36.0,EUR,completed
O100225,C10225,2025-12-06 10:15:49.631991+00:00,37.5,EUR,completed
O100226,C10226,2025-12-06 10:22:49.631991+00:00,39.0,EUR,completed
O100227,C10227,2025-12-06 10:29:49.631991+00:00,40.5,EUR,cancelled
O100228,C10228,2025-12-06 10:36:49.631991+00:00,42.0,EUR,completed
O100229,C10229,2025-12-06 10:43:49.631991+00:00,43.5,EUR,completed
O100230,C10230,2025-12-06 10:50:49.631991+00:00,45.0,EUR,completed
O100231,C10231,2025-12-06 10:57:49.631991+00:00,46.5,EUR,cancelled
O100232,C10232,2025-12-06 11:04:49.631991+00:00,48.0,EUR,completed
O100233,C10233,2025-12-06 11:11:49.631991+00:00,49.5,EUR,completed
O100234,C10234,2025-12-06 11:18:49.631991+00:00,51.0,EUR,completed
O100235,C10235,2025-12-06 11:25:49.631991+00:00,52.5,EUR,cancelled
O100236,C10236,2025-12-06 11:32:49.631991+00:00,54.0,EUR,completed
O100237,C10237,2025-12-06 11:39:49.631991+00:00,55.5,EUR,completed
O100238,C10238,2025-12-06 11:46:49.631991+00:00,57.0,EUR,completed
O100239,C10239,2025-12-06 11:53:49.631991+00:00,-10.0,EUR,completed
O100240,C10240,2025-12-06 12:00:49.631991+00:00,60.0,EUR,completed
O100241,C10241,2025-12-06 12:07:49.631991+00:00,61.5,EUR,refunded
O100242,C10242,2025-12-06 12:14:49.631991+00:00,63.0,EUR,completed
O100243,C10243,2025-12-06 12:21:49.631991+00:00,64.5,EUR,completed
O100244,C10244,2025-12-06 12:28:49.631991+00:00,66.0,EUR,completed
O100245,C10245,2025-12-06 12:35:49.631991+00:00,67.5,EUR,completed
O100246,C10246,2025-12-06 12:42:49.631991+00:00,69.0,EUR,completed
O100247,C10247,2025-12-06 12:49:49.631991+00:00,70.5,EUR,completed
O100248,C10248,2025-12-06 12:56:49.631991+00:00,72.0,EUR,completed
O100249,C10249,2025-12-06 13:03:49.631991+00:00,73.5,EUR,completed
O100250,C10250,2025-12-06 13:10:49.631991+00:00,75.0,EUR,completed
O100251,C10251,2025-12-06 13:17:49.631991+00:00,76.5,EUR,cancelled
O100252,C10252,2025-12-06 13:24:49.631991+00:00,78.0,EUR,completed
O100253,C10253,2025-12-06 13:31:49.631991+00:00,79.5,EUR,completed
O100254,C10254,2025-12-06 13:38:49.631991+00:00,81.0,EUR,completed
O100255,C10255,2025-12-06 13:45:49.631991+00:00,82.5,EUR,completed
O100256,C10256,2025-12-06 13:52:49.631991+00:00,84.0,EUR,completed
O100257,C10257,2025-12-06 13:59:49.631991+00:00,85.5,EUR,completed
O100258,C10258,2025-12-06 14:06:49.631991+00:00,87.0,EUR,completed
O100259,C10259,2025-12-06 14:13:49.631991+00:00,88.5,EUR,completed
O100260,C10260,2025-12-06 14:20:49.631991+00:00,90.0,EUR,completed
O100261,C10261,2025-12-06 14:27:49.631991+00:00,91.5,EUR,completed
O100262,C10262,2025-12-06 14:34:49.631991+00:00,93.0,EUR,completed
O100263,C10263,2025-12-06 14:41:49.631991+00:00,94.5,EUR,completed
O100264,C10264,2025-12-06 14:48:49.631991+00:00,96.0,EUR,completed
O100265,C10265,2025-12-06 14:55:49.631991+00:00,97.5,EUR,completed
O100266,C10266,2025-12-06 15:02:49.631991+00:00,99.0,EUR,completed
O100267,C10267,2025-12-06 15:09:49.631991+00:00,100.5,EUR,completed
O100268,C10268,2025-12-06 15:16:49.631991+00:00,102.0,EUR,completed
O100269,C10269,2025-12-06 15:23:49.631991+00:00,103.5,EUR,completed
O100270,C10270,2025-12-06 15:30:49.631991+00:00,105.0,EUR,completed
O100271,C10271,2025-12-06 15:37:49.631991+00:00,106.5,EUR,refunded
O100272,C10272,2025-12-06 15:44:49.631991+00:00,108.0,EUR,completed
O100273,C10273,2025-12-06 15:51:49.631991+00:00,109.5,EUR,completed
O100274,C10274,2025-12-06 15:58:49.631991+00:00,111.0,EUR,completed
O100275,C10275,2025-12-06 16:05:49.631991+00:00,112.5,EUR,completed
O100276,C10276,2025-12-06 16:12:49.631991+00:00,114.0,EUR,cancelled
O100277,C10277,2025-12-06 16:19:49.631991+00:00,115.5,EUR,completed
O100278,C10278,2025-12-06 16:26:49.631991+00:00,117.0,EUR,completed
O100279,C10279,2025-12-06 16:33:49.631991+00:00,118.5,EUR,completed
O100280,C10280,2025-12-06 16:40:49.631991+00:00,120.0,EUR,completed
O100281,C10281,2025-12-06 16:47:49.631991+00:00,121.5,EUR,completed
O100282,C10282,2025-12-06 16:54:49.631991+00:00,123.0,EUR,completed
O100283,C10283,2025-12-06 17:01:49.631991+00:00,124.5,EUR,completed
O100284,C10284,2025-12-06 17:08:49.631991+00:00,126.0,EUR,completed
O100285,C10285,2025-12-06 17:15:49.631991+00:00,127.5,EUR,completed
O100286,C10286,2025-12-06 17:22:49.631991+00:00,129.0,EUR,completed
O100287,C10287,2025-12-06 17:29:49.631991+00:00,130.5,EUR,completed
O100288,C10288,2025-12-06 17:36:49.631991+00:00,132.0,EUR,completed
O100289,C10289,2025-12-06 17:43:49.631991+00:00,133.5,EUR,completed
O100290,C10290,2025-12-06 17:50:49.631991+00:00,135.0,EUR,completed
O100291,C10291,2025-12-06 17:57:49.631991+00:00,136.5,EUR,completed
O100292,C10292,2025-12-06 18:04:49.631991+00:00,138.0,EUR,completed
O100293,C10293,2025-12-06 18:11:49.631991+00:00,139.5,EUR,refunded
O100294,C10294,2025-12-06 18:18:49.631991+00:00,141.0,EUR,completed
O100295,C10295,2025-12-06 18:25:49.631991+00:00,142.5,EUR,completed
O100296,C10296,2025-12-06 18:32:49.631991+00:00,144.0,EUR,completed
O100297,C10297,2025-12-06 18:39:49.631991+00:00,145.5,EUR,completed
O100298,C10298,2025-12-06 18:46:49.631991+00:00,147.0,EUR,completed
O100299,C10299,2025-12-06 18:53:49.631991+00:00,148.5,EUR,completed
O100300,C10300,2025-12-06 19:00:49.631991+00:00,150.0,EUR,completed
O100301,C10301,2025-12-06 19:07:49.631991+00:00,151.5,EUR,completed
O100302,C10302,2025-12-06 19:14:49.631991+00:00,153.0,EUR,completed
O100303,C10303,2025-12-06 19:21:49.631991+00:00,154.5,EUR,completed
O100304,C10304,2025-12-06 19:28:49.631991+00:00,156.0,EUR,completed
O100305,C10305,2025-12-06 19:35:49.631991+00:00,157.5,EUR,cancelled
O100306,C10306,2025-12-06 19:42:49.631991+00:00,159.0,EUR,completed
O100307,C10307,2025-12-06 19:49:49.631991+00:00,160.5,EUR,completed
O100308,C10308,2025-12-06 19:56:49.631991+00:00,162.0,EUR,completed
O100309,C10309,2025-12-06 20:03:49.631991+00:00,163.5,EUR,refunded
O100310,C10310,2025-12-06 20:10:49.631991+00:00,165.0,EUR,completed
O100311,C10311,2025-12-06 20:17:49.631991+00:00,166.5,EUR,completed
O100312,C10312,2025-12-06 20:24:49.631991+00:00,168.0,EUR,completed
O100313,C10313,2025-12-06 20:31:49.631991+00:00,169.5,EUR,completed
O100314,C10314,2025-12-06 20:38:49.631991+00:00,171.0,EUR,completed
O100315,C10315,2025-12-06 20:45:49.631991+00:00,172.5,EUR,completed
O100316,C10316,2025-12-06 20:52:49.631991+00:00,174.0,EUR,completed
O100317,C10317,2025-12-06 20:59:49.631991+00:00,175.5,EUR,completed
O100318,C10318,2025-12-06 21:06:49.631991+00:00,177.0,EUR,completed
O100319,C10319,2025-12-06 21:13:49.631991+00:00,178.5,EUR,completed
O100320,C10320,2025-12-06 21:20:49.631991+00:00,180.0,EUR,completed
O100321,C10321,2025-12-06 21:27:49.631991+00:00,181.5,EUR,completed
O100322,C10322,2025-12-06 21:34:49.631991+00:00,183.0,EUR,completed
O100323,C10323,2025-12-06 21:41:49.631991+00:00,184.5,EUR,completed
O100324,C10324,2025-12-06 21:48:49.631991+00:00,186.0,EUR,completed
O100325,C10325,2025-12-06 21:55:49.631991+00:00,187.5,EUR,completed
O100326,C10326,2025-12-06 22:02:49.631991+00:00,189.0,EUR,completed
O100327,C10327,2025-12-06 22:09:49.631991+00:00,190.5,EUR,cancelled
O100328,C10328,2025-12-06 22:16:49.631991+00:00,192.0,EUR,completed
O100329,C10329,2025-12-06 22:23:49.631991+00:00,193.5,EUR,completed
O100330,C10330,2025-12-06 22:30:49.631991+00:00,195.0,EUR,completed
O100331,C10331,2025-12-06 22:37:49.631991+00:00,196.5,EUR,completed
O100332,C10332,2025-12-06 22:44:49.631991+00:00,198.0,EUR,completed
O100333,C10333,2025-12-06 22:51:49.631991+00:00,199.5,EUR,completed
O100334,C10334,2025-12-06 22:58:49.631991+00:00,201.0,EUR,completed
O100335,C10335,2025-12-06 23:05:49.631991+00:00,202.5,EUR,completed
O100336,C10336,2025-12-06 23:12:49.631991+00:00,204.0,EUR,completed
O100337,C10337,2025-12-06 23:19:49.631991+00:00,205.5,EUR,completed
O100338,C10338,2025-12-06 23:26:49.631991+00:00,207.0,EUR,completed
O100339,C10339,2025-12-06 23:33:49.631991+00:00,208.5,EUR,completed
O100340,C10340,2025-12-06 23:40:49.631991+00:00,210.0,EUR,completed
O100341,C10341,2025-12-06 23:47:49.631991+00:00,211.5,EUR,completed
O100342,C10342,2025-12-06 23:54:49.631991+00:00,213.0,EUR,completed
O100343,C10343,2025-12-07 00:01:49.631991+00:00,214.5,EUR,completed
O100344,C10344,2025-12-07 00:08:49.631991+00:00,216.0,EUR,completed
O100345,C10345,2025-12-07 00:15:49.631991+00:00,217.5,EUR,completed
O100346,C10346,2025-12-07 00:22:49.631991+00:00,219.0,EUR,completed
O100347,C10347,2025-12-07 00:29:49.631991+00:00,220.5,EUR,completed
O100348,C10348,2025-12-07 00:36:49.631991+00:00,222.0,EUR,completed
O100349,C10349,2025-12-07 00:43:49.631991+00:00,223.5,EUR,completed
O100350,C10350,2025-12-07 00:50:49.631991+00:00,225.0,EUR,completed
O100351,C10351,2025-12-07 00:57:49.631991+00:00,226.5,EUR,completed
O100352,C10352,2025-12-07 01:04:49.631991+00:00,228.0,EUR,completed
O100353,C10353,2025-12-07 01:11:49.631991+00:00,229.5,EUR,completed
O100354,C10354,2025-12-07 01:18:49.631991+00:00,231.0,EUR,completed
O100355,C10355,2025-12-07 01:25:49.631991+00:00,232.5,EUR,completed
